Date,Open,High,Low,Close,Volume,,,,,,,,,,,,,
2014-01-02,2013.11,2013.89,1967.19,1967.19,207769000,81.125,0,0.013875,0.029333333,0.495833333,0.010041667,1.5,0,2,1021.2,35,0.3,-0.022810477
2014-01-03,1963.72,1964.63,1936.15,1946.14,188529000,50.08333333,0,0.004416667,0.064833333,1.191666667,0.00975,2.3,0,2.5,1017.6,54,4.6,-0.008952396
2014-01-06,1947.62,1961.85,1943.74,1953.28,193630000,45.75,0,0.0075,0.042375,0.85,0.008333333,0.8,0,1.6,1028.2,50,3.1,0.002906111
2014-01-07,1947.65,1965.74,1947.08,1959.44,193026000,85.79166667,0,0.003291667,0.068583333,1.441666667,0.011958333,3,0,1.7,1025.4,56,8.5,0.006053449
2014-01-08,1965.5,1966.95,1950.02,1958.96,217070000,84.08333333,0,0.005916667,0.046375,0.870833333,0.011625,0.5,0,3.3,1021.8,57,7.4,-0.003327398
2014-01-09,1962.3,1964.59,1946.11,1946.11,276402000,24.29166667,0,0.024,0.015291667,0.229166667,0.004791667,-7.8,0,3.6,1029.2,26,0,-0.008250522
2014-01-10,1949.53,1956.97,1931.16,1938.54,262992000,22.45833333,0,0.016291667,0.028333333,0.345833333,0.005291667,-4.7,0,2,1031.7,49,3.1,-0.005637256
2014-01-13,1947.38,1954.07,1942.83,1948.92,267941000,30.58333333,0,0.022,0.020541667,0.316666667,0.005,-6.2,0,2.9,1033,26,0,0.000790806
2014-01-14,1942.79,1961.73,1939.31,1946.07,244063000,35.54166667,0,0.011,0.038958333,0.541666667,0.005666667,-4.3,0,2.2,1033.4,34,0,0.001688294
2014-01-15,1956.43,1956.84,1945.87,1953.28,250867000,45.66666667,0,0.011208333,0.041625,0.670833333,0.007291667,-2.9,0,1.7,1032.8,42,0.9,-0.001610075
2014-01-16,1957.91,1965.27,1955.79,1957.32,379566000,69.25,0,0.005833333,0.057166667,1.070833333,0.010333333,0.1,0,1.9,1029,60,6.8,-0.000301342
2014-01-17,1958.5,1962.64,1943.13,1944.48,260911000,148.5,0,0.005708333,0.06475,1.704166667,0.011791667,-0.1,0,1.6,1026.8,56,1.8,-0.00715854
2014-01-20,1945.99,1955.28,1934.38,1953.78,279526000,53.70833333,0,0.005375,0.044291667,0.795833333,0.007791667,-1.5,5.3,3.2,1019.5,83,9.6,0.004003104
2014-01-21,1955.26,1965.43,1949.56,1963.89,289327000,88.16666667,0,0.018875,0.023625,0.2,0.009416667,-5.5,0.7,2.4,1025.7,63,5.3,0.004413735
2014-01-22,1960.46,1970.42,1959.57,1970.42,243856000,125.8333333,0,0.01025,0.049833333,0.654166667,0.011041667,-3.9,0,1.6,1029.1,60,1,0.00508044
2014-01-23,1968.77,1969.04,1947.01,1947.59,229385000,50.16666667,0,0.005958333,0.0555,0.516666667,0.008916667,-0.8,0,2.1,1026.6,66,3.4,-0.010757986
2014-01-24,1941.55,1947.01,1924.49,1940.56,279236000,65.58333333,0,0.004666667,0.065916667,0.833333333,0.009291667,3,0,2.6,1021,64,8.5,-0.000509902
2014-01-27,1905.91,1918.68,1899.76,1910.34,340433000,35.25,0,0.007833333,0.046708333,0.3375,0.006333333,0.2,0,2.6,1024.3,48,1.6,0.002324349
2014-01-28,1907.18,1919.26,1904.05,1916.93,270494000,31.25,0,0.008291667,0.040416667,0.15,0.006291667,1.5,0.5,2.9,1024.7,53,3.6,0.00511226
2014-01-29,1925.93,1941.71,1925.52,1941.15,219931000,37.04166667,0,0.008333333,0.047708333,0.475,0.005708333,2.2,0,2.2,1021.9,40,4.3,0.007902676
2014-02-03,1930.09,1931.81,1917.64,1919.96,229649000,58.125,0,0.016958333,0.023541667,0.241666667,0.0045,-3.5,0,4.3,1017.9,39,2.6,-0.00524846
2014-02-04,1894.96,1898.08,1885.53,1886.85,250975000,34,0,0.027291667,0.01525,0.1125,0.004625,-7.4,0,3.4,1025.8,26,0.1,-0.004279774
2014-02-05,1897.95,1901.4,1888.47,1891.32,244028000,39.625,0,0.02375,0.019875,0.191666667,0.006458333,-4.8,0,2,1029.3,28,4.5,-0.003493243
2014-02-06,1897.35,1910.91,1897.35,1907.89,259440000,43.29166667,0,0.009583333,0.042708333,0.5125,0.006875,-1.3,0,1.7,1026.5,30,5,0.005555116
2014-02-07,1922.45,1923.25,1910.9,1922.5,272962000,30.625,0,0.011166667,0.040208333,0.5,0.005666667,2.4,0,4.8,1020.7,47,8.4,2.60085E-05
2014-02-10,1928.13,1928.39,1916.4,1923.3,207959000,26.29166667,0,0.022875,0.026666667,0.420833333,0.004333333,-0.1,0.2,2.5,1026.1,55,4.5,-0.002505018
2014-02-11,1924.45,1935.29,1920.55,1932.06,226381000,19.16666667,0,0.018958333,0.031958333,0.425,0.004833333,0.2,0,3.2,1026.8,42,0.8,0.003954377
2014-02-12,1942.23,1942.23,1933.54,1935.84,225374000,19.08333333,0,0.012375,0.039375,0.504166667,0.004833333,1.2,0,2.5,1028.7,49,4.4,-0.003290033
2014-02-13,1936.62,1944.73,1924.39,1926.96,187857000,23.45833333,0,0.014166667,0.037541667,0.4875,0.005041667,1.9,0,2.2,1030.4,46,5.6,-0.004988072
2014-02-14,1930.14,1946.81,1930.14,1940.28,216590000,18.54166667,0,0.019041667,0.033583333,0.458333333,0.004625,2.7,0,3.1,1028.2,47,4,0.005253505
2014-02-17,1951.74,1955.04,1942.94,1946.36,215467000,73.79166667,0,0.018416667,0.048958333,0.841666667,0.010875,4.2,0,2,1027.3,46,6.4,-0.002756515
2014-02-18,1946.88,1951.06,1935.6,1946.91,200447000,49.08333333,0,0.02425,0.034166667,0.616666667,0.007125,2.5,0,3.5,1027.1,46,5.3,1.54093E-05
2014-02-19,1944.7,1944.7,1932.44,1942.93,213564000,25.04166667,0,0.017083333,0.03625,0.466666667,0.005208333,2.1,0,2.6,1026.5,49,3.5,-0.000910166
2014-02-20,1932.9,1941.13,1927.53,1930.57,232323000,42.08333333,0,0.014291667,0.039583333,0.5625,0.005916667,1.2,0,2.8,1027.4,62,0.9,-0.001205443
2014-02-21,1948.03,1957.83,1946.68,1957.83,216316000,67.16666667,0,0.026,0.035375,0.75,0.008291667,0.9,0,2.6,1030.4,49,0,0.005030723
