Date,Open,High,Low,Close,Volume,,,,,,,,,,,,,
2014-01-20,1945.99,1955.28,1934.38,1953.78,279526000,53.70833333,0,0.005375,0.044291667,0.795833333,0.007791667,-1.5,5.3,3.2,1019.5,83,9.6,0.004003104
2014-01-21,1955.26,1965.43,1949.56,1963.89,289327000,88.16666667,0,0.018875,0.023625,0.2,0.009416667,-5.5,0.7,2.4,1025.7,63,5.3,0.004413735
2014-01-28,1907.18,1919.26,1904.05,1916.93,270494000,31.25,0,0.008291667,0.040416667,0.15,0.006291667,1.5,0.5,2.9,1024.7,53,3.6,0.00511226
2014-02-10,1928.13,1928.39,1916.4,1923.3,207959000,26.29166667,0,0.022875,0.026666667,0.420833333,0.004333333,-0.1,0.2,2.5,1026.1,55,4.5,-0.002505018
2014-03-12,1957.67,1958.09,1930.48,1932.54,329923000,41,0,0.01,0.05,0.8,0.009,6.9,0.2,1.5,1017.5,76,8.6,-0.012836689
2014-03-17,1921.15,1928.43,1919.61,1927.53,214929000,85.29166667,0,0.017708333,0.051583333,0.55,0.009375,12.6,0.5,3.5,1017,79,6.5,0.003320928
2014-03-18,1941.12,1946.14,1931.83,1940.21,274288000,59.70833333,0,0.018375,0.03075,0.258333333,0.006416667,10.5,0.4,3.5,1015.2,75,6.3,-0.000468802
2014-03-20,1934.15,1934.63,1919.37,1919.52,220600000,109,0,0.010958333,0.047125,0.445833333,0.008041667,6.3,0.4,3.2,1014.3,71,6.8,-0.007564046
2014-04-03,1999.42,2007.88,1992.16,1993.7,225726000,54.20833333,0,0.021958333,0.048875,0.325,0.008083333,10.2,0.5,3.1,1013.6,63,8,-0.00286083
2014-04-17,2000.47,2001.29,1984.98,1992.05,200186000,130.625,0,0.014916667,0.06325,0.891666667,0.009791667,14.7,3,1.9,1013.2,67,6.9,-0.004209011
2014-04-28,1969.04,1976.56,1969.04,1969.26,168833000,20.375,0,0.024,0.031875,0.333333333,0.005291667,13.6,13.5,4.6,1014.2,92,10,0.00011173
2014-04-29,1974.67,1976.17,1960.36,1964.77,177609000,10.29166667,0,0.030875,0.029625,0.308333333,0.005,15,5.5,4,1010.4,70,9.3,-0.005013496
2014-05-02,1966.29,1968.5,1956.32,1959.44,179541000,53.75,0,0.032708333,0.03825,0.5375,0.008,15.7,1,3.6,1012.5,71,6,-0.003483718
2014-05-07,1964.19,1964.19,1939.55,1939.88,193040000,34.29166667,0,0.025416667,0.0385,0.375,0.00825,15.7,2,3.8,1012.7,48,6.4,-0.012376603
2014-05-08,1945.94,1950.6,1934.72,1950.6,222431000,40.33333333,0,0.042125,0.027833333,0.370833333,0.006708333,14.5,4,4.2,1010.7,84,5.4,0.00239473
2014-05-12,1956.26,1966.64,1950.91,1964.94,201643000,29.625,0,0.034791667,0.029833333,0.4125,0.005875,16.4,10,5.2,1005.2,79,5.9,0.004437038
2014-05-15,2007.88,2015.37,2006.38,2010.2,259392000,54.58333333,0,0.053666667,0.02725,0.454166667,0.007541667,18.2,0.3,4,1000.8,67,2.6,0.001155448
2014-05-26,2016.21,2020.96,2008.14,2010.35,196575000,48.125,0,0.030333333,0.029958333,0.4,0.003375,19.4,1.5,4,1002.1,67,4.4,-0.002906443
2014-06-02,1998.81,2006.93,1995.69,2002,265590000,82.33333333,0,0.042708333,0.038125,0.379166667,0.004541667,22.6,2,2.2,1007.9,74,10,0.00159595
2014-06-03,2006.31,2008.56,1990.72,2008.56,266745000,58.70833333,0,0.021541667,0.043125,0.466666667,0.004333333,18.7,33,3.5,1006.2,95,8.6,0.001121462
2014-06-10,2000.89,2011.87,1996.21,2011.8,234933000,36.83333333,0,0.028166667,0.043666667,0.266666667,0.003958333,23.6,5.5,2.1,1009.3,72,6.3,0.005452574
2014-06-11,2009.51,2016.78,2006.73,2014.67,238048000,24.20833333,0,0.02725,0.034458333,0.2,0.0025,20.5,19,1.9,1006.2,87,9.1,0.00256779
2014-06-12,2013.6,2015.8,2003.57,2011.65,251876000,22.91666667,0,0.015291667,0.041791667,0.25,0.002333333,21.2,0.1,2.8,1002.2,74,6.8,-0.000968415
2014-06-17,1994.89,2002.96,1991.53,2001.55,236597000,45.95833333,0,0.029166667,0.039416667,0.204166667,0.006125,24.5,3.5,1.9,1004.4,72,7.8,0.00333853
2014-06-18,2002.26,2002.26,1987.03,1989.49,216850000,56.41666667,0,0.0455,0.044,0.370833333,0.003875,24.4,0.1,3,1004.1,71,5.4,-0.006377793
2014-06-20,1990.71,1990.73,1965.12,1968.07,232659000,42.45833333,0,0.036041667,0.025958333,0.2,0.0025,24.2,1.5,1.6,1007.7,77,9.1,-0.011372827
2014-06-23,1975.1,1980.31,1971.61,1974.92,231738000,27.54166667,0,0.03175,0.035458333,0.216666667,0.002041667,21,24.5,1.4,1006.1,91,7.8,-9.11346E-05
2014-07-02,2008,2016.36,2002.4,2015.28,318423000,49.04166667,0,0.05175,0.043083333,0.266666667,0.0055,25.7,20.5,2.5,1006.7,77,8.4,0.003625498
2014-07-03,2015.99,2015.99,2007.86,2010.97,259913000,61,0,0.045,0.038708333,0.258333333,0.002833333,22.6,2,2.8,1001.7,86,9.6,-0.002490092
2014-07-08,2003.55,2009.22,1997.87,2006.66,259356000,32.54166667,0,0.046458333,0.0345,0.229166667,0.002833333,25.9,0.2,1.9,1006.4,73,7.6,0.001552245
2014-07-09,1997.57,2000.89,1992.42,2000.5,272746000,24.16666667,0,0.017833333,0.038,0.3875,0.002833333,27.6,0.5,2.2,1001.9,78,9.4,0.001466782
2014-07-17,2020.52,2025.41,2018.77,2020.9,322694000,30.79166667,0,0.038708333,0.029833333,0.175,0.003791667,25.9,0.2,3.1,1010.9,76,8.4,0.00018807
2014-07-18,2007.12,2019.42,2006.01,2019.42,304521000,17.33333333,0,0.019791667,0.029958333,0.154166667,0.002208333,26.1,1.5,2.6,1011.2,81,7.6,0.006128184
2014-07-22,2021.18,2028.93,2017.76,2028.93,265888000,39.29166667,0,0.022666667,0.027708333,0.141666667,0.004,25.9,16.5,4.4,1006.3,84,9.8,0.003834394
2014-07-23,2032.73,2035.24,2025,2028.32,353510000,17.58333333,0,0.005333333,0.023625,0.120833333,0.001291667,23.6,55,3.2,1005.1,90,10,-0.002169496
2014-07-24,2032.94,2034.72,2021.22,2026.62,323590000,13.95833333,0,0.0175,0.034916667,0.141666667,0.001458333,21.9,48,2,1006.9,93,9.3,-0.003108798
2014-07-25,2030.04,2036.2,2027.33,2033.85,282769000,13.5,0,0.008291667,0.043208333,0.216666667,0.001,27.5,59.5,2.9,1003.8,82,9.5,0.00187681
2014-07-31,2081.75,2090.57,2070.78,2076.12,383726000,27,0,0.016541667,0.030875,0.125,0.002166667,28.6,1.5,2.1,1009.8,76,6.8,-0.002704455
2014-08-04,2080.77,2083.05,2067.17,2080.42,253201000,7.375,0,0.011916667,0.024083333,0.1,0.001,26.4,6.5,2.1,998.8,93,9,-0.000168207
2014-08-06,2062.93,2068.08,2055.68,2060.73,377266000,61.20833333,0,0.038375,0.026625,0.179166667,0.003291667,24.4,10.5,2.2,1005.8,92,10,-0.001066444
2014-08-07,2062.24,2063.53,2047.75,2054.51,292935000,31.625,0,0.015541667,0.039916667,0.145833333,0.0015,24.7,0.2,1.5,1006.5,91,7.9,-0.003748351
2014-08-14,2065.69,2073.42,2056.06,2063.22,270849000,47.66666667,0,0.020166667,0.041791667,0.575,0.003416667,22.3,0.5,2,1009.3,79,9.3,-0.001195726
2014-08-18,2070.95,2073.05,2053.13,2053.13,300419000,22.04166667,0,0.017375,0.034583333,0.379166667,0.002,22.3,11.5,3.1,1009.4,90,10,-0.008604747
